local_time,timestamp,aqi,pm25,pm10,co,no2,o3,t,h,p,w
2025-07-16 17:04:55,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:05:05,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:05:16,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:05:26,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:05:36,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:05:47,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:05:57,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:06:08,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:06:19,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:06:29,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:06:39,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:06:50,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:07:00,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:07:11,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:07:21,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:07:32,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:07:42,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:07:53,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:08:03,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:08:13,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:08:24,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:08:35,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:08:46,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:08:56,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:09:07,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:09:17,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:09:28,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:09:39,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:09:50,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
